video_id,title,views,tags,caption_available,subscriber_count,pub_month,pub_day,pub_hour_sin,pub_hour_cos,pub_weekday_sin,pub_weekday_cos,cat_15,duration_sec,popular,definition
4NL_IC8llXI,2년 주기 로 줍 줍 했는데 너무 닮은 양봉 장 쥐잡 냥 이 두 마리,309697,체리|토르|프응|산냥이|쥐잡냥이|양봉장|고양이|냥이|냥줍|유전자검사|꿀벌|말벌|꿀|벌|야옹이,0,1060000,3,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,1,1131,0,1
evMRe8PfSt4,대박 1년 간 방치 했던 카메라 에 전설 의 동물 이 찍혔습니다,449032,bird|자연|동물|animal,1,530000,3,2,-1.0,-1.8369701987210287e-16,-0.7818314824680299,0.6234898018587334,1,766,0,1
4NL_IC8llXI,2년 주기 로 줍 줍 했는데 너무 닮은 양봉 장 쥐잡 냥 이 두 마리,340537,체리|토르|프응|산냥이|쥐잡냥이|양봉장|고양이|냥이|냥줍|유전자검사|꿀벌|말벌|꿀|벌|야옹이,0,1060000,3,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,1,1131,0,1
evMRe8PfSt4,대박 1년 간 방치 했던 카메라 에 전설 의 동물 이 찍혔습니다,644572,bird|자연|동물|animal,1,530000,3,2,-1.0,-1.8369701987210287e-16,-0.7818314824680299,0.6234898018587334,1,766,1,1
lhvAAk-jMUw,저희 곁 을 떠났습니다,230379,진돗개|진도개|백구|황구|진돗개 백구|진돗개백구|진돗개 황구|진돗개황구|삼용이|삼룡이|진돗개 강아지|진돗개 새끼|진돗개강아지|삼용이 진돗개|삼룡이 진돗개|진돗개삼용이|진돗개분양|진돗개 분양|진돗개키우기|진돗개 강형욱|강형욱|강형욱진돗개|백구 강아지|황구 강아지|황구 삼용이|동물농장|사냥개|진돗개 사냥|진돗개사냥본능|고라니|멧돼지|고라니 사냥|멧돼지고기|두부구잉|남피디|치와와|영철이|새끼강아지|새끼 강아지|강아지|고양이|새끼고양이|새끼 고양이|길고양이|길고양이 새끼|길냥이|길냥이 새끼|고양이구조|길고양이구조|길냥이구조|고양이모레|고양이 산책|고양이산책|영심이|시골생활|시골일상|동물원|캣맘|유기견|유기묘|진돗개사냥|춘향이|단짝|남피디와아이들|개는훌륭하다|세상에나쁜개는없다|동물병원|심장병|반려동물|반려견|반려묘|설채현|흙구|호구|갑순이|전북대동물병원|부싯돌|세나개|개훌륭|웃긴동영상|분독|군산동물병원|삼용이갑순이|서천|서천여행,0,147000,3,3,0.258819045102521,-0.9659258262890682,0.0,1.0,1,82,0,1
4NL_IC8llXI,2년 주기 로 줍 줍 했는데 너무 닮은 양봉 장 쥐잡 냥 이 두 마리,355662,체리|토르|프응|산냥이|쥐잡냥이|양봉장|고양이|냥이|냥줍|유전자검사|꿀벌|말벌|꿀|벌|야옹이,0,1060000,3,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,1,1131,0,1
lhvAAk-jMUw,저희 곁 을 떠났습니다,286793,진돗개|진도개|백구|황구|진돗개 백구|진돗개백구|진돗개 황구|진돗개황구|삼용이|삼룡이|진돗개 강아지|진돗개 새끼|진돗개강아지|삼용이 진돗개|삼룡이 진돗개|진돗개삼용이|진돗개분양|진돗개 분양|진돗개키우기|진돗개 강형욱|강형욱|강형욱진돗개|백구 강아지|황구 강아지|황구 삼용이|동물농장|사냥개|진돗개 사냥|진돗개사냥본능|고라니|멧돼지|고라니 사냥|멧돼지고기|두부구잉|남피디|치와와|영철이|새끼강아지|새끼 강아지|강아지|고양이|새끼고양이|새끼 고양이|길고양이|길고양이 새끼|길냥이|길냥이 새끼|고양이구조|길고양이구조|길냥이구조|고양이모레|고양이 산책|고양이산책|영심이|시골생활|시골일상|동물원|캣맘|유기견|유기묘|진돗개사냥|춘향이|단짝|남피디와아이들|개는훌륭하다|세상에나쁜개는없다|동물병원|심장병|반려동물|반려견|반려묘|설채현|흙구|호구|갑순이|전북대동물병원|부싯돌|세나개|개훌륭|웃긴동영상|분독|군산동물병원|삼용이갑순이|서천|서천여행,0,147000,3,3,0.258819045102521,-0.9659258262890682,0.0,1.0,1,82,0,1
evMRe8PfSt4,대박 1년 간 방치 했던 카메라 에 전설 의 동물 이 찍혔습니다,831264,bird|자연|동물|animal,1,530000,3,2,-1.0,-1.8369701987210287e-16,-0.7818314824680299,0.6234898018587334,1,766,1,1
evMRe8PfSt4,대박 1년 간 방치 했던 카메라 에 전설 의 동물 이 찍혔습니다,931104,bird|자연|동물|animal,1,530000,3,2,-1.0,-1.8369701987210287e-16,-0.7818314824680299,0.6234898018587334,1,766,1,1
lhvAAk-jMUw,저희 곁 을 떠났습니다,317035,진돗개|진도개|백구|황구|진돗개 백구|진돗개백구|진돗개 황구|진돗개황구|삼용이|삼룡이|진돗개 강아지|진돗개 새끼|진돗개강아지|삼용이 진돗개|삼룡이 진돗개|진돗개삼용이|진돗개분양|진돗개 분양|진돗개키우기|진돗개 강형욱|강형욱|강형욱진돗개|백구 강아지|황구 강아지|황구 삼용이|동물농장|사냥개|진돗개 사냥|진돗개사냥본능|고라니|멧돼지|고라니 사냥|멧돼지고기|두부구잉|남피디|치와와|영철이|새끼강아지|새끼 강아지|강아지|고양이|새끼고양이|새끼 고양이|길고양이|길고양이 새끼|길냥이|길냥이 새끼|고양이구조|길고양이구조|길냥이구조|고양이모레|고양이 산책|고양이산책|영심이|시골생활|시골일상|동물원|캣맘|유기견|유기묘|진돗개사냥|춘향이|단짝|남피디와아이들|개는훌륭하다|세상에나쁜개는없다|동물병원|심장병|반려동물|반려견|반려묘|설채현|흙구|호구|갑순이|전북대동물병원|부싯돌|세나개|개훌륭|웃긴동영상|분독|군산동물병원|삼용이갑순이|서천|서천여행,0,147000,3,3,0.258819045102521,-0.9659258262890682,0.0,1.0,1,82,0,1
